Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
GRU,8.0,0.9975247524752475,0.9951338199513382,1.0,0.9975609756097561,1.0,0.005012531328320802,0.025981272018178077,1.0
GRU,10.0,0.9969268592501537,0.9938118811881188,1.0,0.9968963376784605,1.0,0.006067961165048544,0.027130912422446703,1.0
GRU,12.0,0.995079950799508,0.9902676399026764,1.0,0.9951100244498777,1.0,0.009852216748768473,0.029398435770321762,1.0
GRU,14.0,0.9958677685950413,0.9915356711003628,1.0,0.9957498482088646,1.0,0.008009153318077803,0.031064003528536978,1.0
GRU,16.0,0.994665085951393,0.9891566265060241,1.0,0.9945487583282859,1.0,0.010392609699769052,0.0319534952190701,1.0
GRU,18.0,0.9945717732207479,0.9893617021276596,1.0,0.9946524064171123,1.0,0.010962241169305725,0.02913048973532103,1.0
GRU,20.0,0.9968944099378882,0.9938347718865598,1.0,0.9969078540507111,1.0,0.006218905472636816,0.02728145200819881,1.0
GRU,22.0,0.993142144638404,0.9863861386138614,1.0,0.9931464174454828,1.0,0.013630731102850062,0.033847347558103424,1.0
GRU,24.0,0.9949590422180214,0.9900744416873449,1.0,0.9950124688279302,1.0,0.010139416983523447,0.031211694612508112,1.0
GRU,26.0,0.9951338199513382,0.9900621118012423,1.0,0.9950062421972534,1.0,0.009445100354191263,0.02976389273501355,1.0
GRU,28.0,0.9945280437756497,0.988795518207283,1.0,0.9943661971830986,1.0,0.010582010582010581,0.02962699109934653,1.0
CNN,-20.0,0.49969456322541234,0.5,0.008547008547008548,0.01680672268907563,0.008547008547008548,0.008557457212713936,0.7187720491124325,0.5139459833836362
CNN,-18.0,0.5096153846153846,0.75,0.014563106796116505,0.02857142857142857,0.014563106796116505,0.004761904761904762,0.7042696581340678,0.5416522191400832
CNN,-16.0,0.5103980986333928,0.7857142857142857,0.03891509433962264,0.07415730337078652,0.03891509433962264,0.010778443113772455,0.6752862247975331,0.5839735623093436
CNN,-14.0,0.5390428211586902,0.9605263157894737,0.09102244389027432,0.1662870159453303,0.09102244389027432,0.003816793893129771,0.6077219500418228,0.6906001535601201
CNN,-12.0,0.6418547895057962,0.9704641350210971,0.2839506172839506,0.4393505253104107,0.2839506172839506,0.008443908323281062,0.4585711004643158,0.855044006612161
CNN,-10.0,0.8692396313364056,0.984399375975039,0.7441037735849056,0.847548690396239,0.7441037735849056,0.01126126126126126,0.1876523626827332,0.9790033252592215
CNN,-8.0,0.9921355111917726,0.9889434889434889,0.9950556242274413,0.9919901417128774,0.9950556242274413,0.01066350710900474,0.04380002855069117,0.9995606301149977
CNN,-6.0,0.9981873111782478,0.9964871194379391,1.0,0.9982404692082112,1.0,0.0037313432835820895,0.03159564339834507,1.0
