Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
CNN,0.0,0.9956785506523727,0.9969215408935852,0.9944393725620383,0.9956789097556922,0.9944393725620383,0.003078971457102438,0.03060289881062349,0.9988085252810821
CNN,2.0,0.9948615945632355,0.9956027545009541,0.9941181343716345,0.994859890565412,0.9941181343716345,0.004394328828455352,0.03222138411934534,0.998534391468503
CNN,4.0,0.9944997708237844,0.9958992384299942,0.9930735208211633,0.9944843723884339,0.9930735208211633,0.004077896138482024,0.03223462404518254,0.9983519081570618
CNN,6.0,0.9956805249823483,0.9961841559518871,0.9951935029419077,0.9956885830362325,0.9951935029419077,0.0038301415487094087,0.030749069410573447,0.9987709269926232
CNN,8.0,0.9950102729674201,0.9957382802707445,0.9943257676902537,0.9950315226921632,0.9943257676902537,0.0042983565107458915,0.03181291957397191,0.998598820058997
CNN,10.0,0.9943947126244458,0.9957350727546412,0.9930775646371977,0.9944045431768832,0.9930775646371977,0.0042799597180261835,0.032511856801235695,0.9984093407816349
CNN,12.0,0.9946443514644352,0.9955316508067853,0.9938868236266005,0.9947085572550641,0.9938868236266005,0.004578211106401018,0.031689417961887935,0.9983210249304035
CNN,14.0,0.9951951445671415,0.9961441743503772,0.9943105756358769,0.9952265304413366,0.9943105756358769,0.003906913538304739,0.030965434062155676,0.9984538047439177
CNN,16.0,0.9949185722020909,0.9950112247443252,0.9948457893424225,0.9949285001662787,0.9948457893424225,0.005008347245409015,0.03161814130674695,0.998807750496123
CNN,18.0,0.9948825884197928,0.9946218765513818,0.9951158940397351,0.9948688239675577,0.9951158940397351,0.00534935396263682,0.03200654717205668,0.9985885322168455
MCLDNN,-20.0,0.6077672327672328,0.8536170212765958,0.25251762336354483,0.3897415970468234,0.25251762336354483,0.04261645193260654,0.5240287835225284,0.7405393565164278
MCLDNN,-18.0,0.6129904714351101,0.8627021101671691,0.26347505858721126,0.40366737193049945,0.26347505858721126,0.04145635084815887,0.5114438995778581,0.7505317830859666
MCLDNN,-16.0,0.6362418355384357,0.8791002811621368,0.31465951023146593,0.4634387351778656,0.31465951023146593,0.0431438127090301,0.4845244799177565,0.7642316261069271
MCLDNN,-14.0,0.6596457434780788,0.8998778998778999,0.3667274838281639,0.5210935658732029,0.3667274838281639,0.04161380360314641,0.4430050110531117,0.7922608075179557
MCLDNN,-12.0,0.7114932574539157,0.922211188348229,0.46057199537113575,0.6143329658213892,0.46057199537113575,0.03867994403752777,0.38461205840458035,0.830918551631922
MCLDNN,-10.0,0.7726151143825017,0.9324939726761318,0.5852879361076082,0.7191777284231187,0.5852879361076082,0.041944074567243674,0.30869555791744857,0.873496994899333
MCLDNN,-8.0,0.8661812703991966,0.9501860272840017,0.7719563392107472,0.8518484202723988,0.7719563392107472,0.040206873540206876,0.19450923154389577,0.9391135853177555
MCLDNN,-6.0,0.9536843862138029,0.9592336259284268,0.9477151434289527,0.9534395973154363,0.9477151434289527,0.04033739769500585,0.08753446220560768,0.9871638020915451
MCLDNN,-4.0,0.9771074826540364,0.9619154748513579,0.9936094281683128,0.9775056133904878,0.9936094281683128,0.039434276206322796,0.05704334581799072,0.997668008156931
MCLDNN,-2.0,0.9761471682513435,0.9595357341601081,0.9943977591036415,0.9766557430108832,0.9943977591036415,0.04223365416528377,0.058046826529265606,0.9979026938082391
MCLDNN,0.0,0.9776863625031165,0.9619582664526485,0.9947713503195286,0.9780896813415481,0.9947713503195286,0.039444120828825834,0.055357603800673075,0.9979133497581334
MCLDNN,2.0,0.9764213492458147,0.9594184374500719,0.9949465661502775,0.976859571353044,0.9949465661502775,0.04211922726142111,0.05735375957707075,0.9982084415817639
MCLDNN,4.0,0.9751239634984791,0.9581522613874135,0.9935742301593925,0.9755418083493793,0.9935742301593925,0.043275632490013316,0.058822821907235444,0.9976284437240373
MCLDNN,6.0,0.9779457573617976,0.9618094475580464,0.9955249854976382,0.9783768375615914,0.9955249854976382,0.03971690258118235,0.05593219101666969,0.9982575982405204
MCLDNN,8.0,0.9776091240722882,0.9622900516795866,0.994409212283044,0.978086014445174,0.994409212283044,0.03935946059839865,0.056022761522834676,0.9979666103477203
MCLDNN,10.0,0.9754873253576508,0.9586550836550837,0.9939949958298582,0.9760052411759889,0.9939949958298582,0.04313528029540114,0.05833466117323266,0.9975398123254218
MCLDNN,12.0,0.9763179916317991,0.9605651792129002,0.9940520446096655,0.9770217603117896,0.9940520446096655,0.04188215345485375,0.05622872856328285,0.9977570638711473
MCLDNN,14.0,0.9772401584759336,0.9616504854368932,0.9944779116465864,0.9777887462981244,0.9944779116465864,0.040258196025140136,0.0552944400825021,0.9978364280973051
MCLDNN,16.0,0.9773001790995044,0.9609826589595376,0.9950951866323052,0.9777414743720645,0.9950951866323052,0.040567612687813025,0.056930016522622605,0.9981279589905918
MCLDNN,18.0,0.9767240311997029,0.9595371109337589,0.9952814569536423,0.9770824867939862,0.9952814569536423,0.0417249609085672,0.05630964668648846,0.9981670014895349
PETCGDNN,-20.0,0.8059024309024309,0.949324742906703,0.6430010070493454,0.7666983539300546,0.6430010070493454,0.03377931945820945,0.2800605258579483,0.9161656025057243
PETCGDNN,-18.0,0.8044355677609953,0.9481820430373485,0.6416973552058922,0.7653988220025956,0.6416973552058922,0.034671079851055026,0.2819645368496616,0.9143570975537493
PETCGDNN,-16.0,0.8035923630882599,0.946095966448748,0.643240523314324,0.7658129898657081,0.643240523314324,0.03653846153846154,0.2799727493230941,0.9158159284162012
PETCGDNN,-14.0,0.8070851304384239,0.949559551104139,0.652595787029358,0.7735561563037602,0.652595787029358,0.03535481688234796,0.2738622456978728,0.9178215558180571
PETCGDNN,-12.0,0.8159099344302858,0.9466417037210391,0.6687055711687883,0.7837628366595621,0.6687055711687883,0.03752777549172907,0.26433548731459566,0.9207276279190277
PETCGDNN,-10.0,0.8368533311028397,0.950620067643743,0.708869272803699,0.8121358054418493,0.708869272803699,0.03645139813581891,0.23479570040385941,0.9289241428970423
PETCGDNN,-8.0,0.8817474265628923,0.9595305544314043,0.7963056255247691,0.8703312838395889,0.7963056255247691,0.0333667000333667,0.17651067334356113,0.9496975389887509
PETCGDNN,-6.0,0.9552282400066762,0.9623951892944863,0.9475483655770514,0.9549140720198328,0.9475483655770514,0.03708034073826624,0.07073477050625525,0.9880075456462095
PETCGDNN,-4.0,0.9781046158959658,0.9630284520173605,0.9944393725620383,0.9784818913070107,0.9944393725620383,0.03826955074875208,0.03774129599369527,0.9986470352825795
PETCGDNN,-2.0,0.9798263745349318,0.9651812809455359,0.9957159334321964,0.9802108678021086,0.9957159334321964,0.036176568204447396,0.03560402455936339,0.9991865178940906
PETCGDNN,0.0,0.9803041635502369,0.9654950534866886,0.9962652502282348,0.9806388366963483,0.9962652502282348,0.035699425813430975,0.0347506997949655,0.9992868362483107
PETCGDNN,2.0,0.9784518481684071,0.9623729084941157,0.9958578411067849,0.9788290855793502,0.9958578411067849,0.03896857640328331,0.037910514775355064,0.9989672730021198
PETCGDNN,4.0,0.9808742030917955,0.967543005517689,0.9950763581740799,0.9811165507878389,0.9950763581740799,0.033288948069241014,0.03559686780449479,0.9988487004948088
PETCGDNN,6.0,0.9821406321385555,0.9691203741030396,0.9961050799701666,0.9824274621986105,0.9961050799701666,0.03189009159034138,0.03431651239967422,0.9990040688034687
PETCGDNN,8.0,0.9808377709757222,0.9667935530898194,0.9960781041388518,0.9812173770087542,0.9960781041388518,0.034555415086388534,0.035955752302590904,0.9990305095655003
PETCGDNN,10.0,0.9797122061407179,0.9657517609910129,0.9948290241868224,0.9800747709625734,0.9948290241868224,0.035498489425981876,0.03710695376546808,0.9987854724522869
PETCGDNN,12.0,0.9805857740585774,0.967622720334217,0.9949607600165221,0.9811013359400457,0.9949607600165221,0.03416701992369648,0.03502304571866663,0.9986900756574126
PETCGDNN,14.0,0.9813706482340049,0.9684193390851376,0.9954819277108434,0.981764171961383,0.9954819277108434,0.03295396636657041,0.03470770542893158,0.9988629849219651
PETCGDNN,16.0,0.9805489608063643,0.9662096774193548,0.9960096433618755,0.9808833763150354,0.9960096433618755,0.034974958263772955,0.03591632138565317,0.9990465237667845
PETCGDNN,18.0,0.9796541620238537,0.9645577740357629,0.9957781456953643,0.9799193515539082,0.9957781456953643,0.036375606945930374,0.03721821360626801,0.998802581315358
